property_id,abstract_time,total_time,size,1_1
0,0,1.159458637,310,
1,0,0.990749359,310,
2,0,1.076380491,310,
3,0,1.057341099,310,
4,0,1.114528179,310,
5,0,0.864521503,310,
6,0,1.138387918,310,
7,0,1.26085639,310,
8,0,1.4719069,310,
9,0,1.147826433,310,
10,0,1.460001945,310,
11,0,0.925236702,310,
12,0,1.002981186,310,
13,0,0.997787952,310,
14,0,1.072376251,310,
15,0,0.978674412,310,
16,0,1.534319878,310,
17,0,1.331128597,310,
18,0,0.982700109,310,
19,0,0.999986649,310,
property_id,abstract_time,total_time,size,1_2
0,0,1.732011795,310,
1,0,1.516094923,310,
2,1.936581612,2.03527236,106,
3,1.777187347,1.878005743,113,
4,0,1.335562706,310,
5,0,1.745893955,310,
6,0,1.350895405,310,
7,0,1.65315032,310,
8,0,1.277335405,310,
9,1.787407875,1.8778193,109,
10,0,1.48046279,310,
11,0,1.553901196,310,
12,0,1.435870647,310,
13,0,1.100937843,310,
14,0,1.337997198,310,
15,1.749003649,1.812196732,98,
16,0,1.256453276,310,
17,0,1.20836544,310,
18,0,1.328043222,310,
19,0,1.293561459,310,
property_id,abstract_time,total_time,size,1_3
0,0,1.48803997,310,
1,0,1.305793047,310,
2,0,1.251980782,310,
3,0,1.26330018,310,
4,0,1.472254038,310,
5,0,1.257588625,310,
6,0,1.599487782,310,
7,0,1.134273767,310,
8,0,1.392994165,310,
9,0,1.412848711,310,
10,0,1.609935045,310,
11,0,1.368805885,310,
12,0,1.44931078,310,
13,0,1.256963968,310,
14,0,1.156934738,310,
15,0,1.382374287,310,
16,0,1.704684019,310,
17,0,1.394488335,310,
18,0,1.291898251,310,
19,0,1.398819923,310,
property_id,abstract_time,total_time,size,1_4
0,0,1.558817863,310,
1,0,2.064640284,310,
2,0,1.51645422,310,
3,2.373354673,2.58077836,118,
4,0,1.569549561,310,
5,0,1.496072054,310,
6,0,1.647583008,310,
7,0,1.539646387,310,
8,0,1.652307034,310,
9,0,1.451152563,310,
10,0,1.660690546,310,
11,0,1.559425831,310,
12,0,1.64987731,310,
13,0,1.983411312,310,
14,0,1.478684425,310,
15,2.382955551,2.505607605,122,
16,0,1.846666813,310,
17,0,1.628537178,310,
18,0,1.37803936,310,
19,0,1.732259989,310,
property_id,abstract_time,total_time,size,1_5
0,0,1.09832716,310,
1,0,1.452820301,310,
2,0,1.470567942,310,
3,2.292437553,2.476083279,129,
4,0,1.262867928,310,
5,0,1.304657698,310,
6,0,1.202466488,310,
7,0,1.404607773,310,
8,0,1.227804422,310,
9,0,1.079058647,310,
10,0,1.505323887,310,
11,0,1.112415314,310,
12,0,1.571787596,310,
13,0,0.911044121,310,
14,0,1.000703573,310,
15,1.873906851,2.854594946,128,
16,0,1.197711229,310,
17,0,1.050005674,310,
18,0,1.153004646,310,
19,0,1.266889095,310,
property_id,abstract_time,total_time,size,1_6
0,0,1.358399391,310,
1,0,1.228888273,310,
2,2.415746927,2.523365498,110,
3,1.871612787,2.092197895,119,
4,0,1.320239544,310,
5,0,1.210518837,310,
6,0,1.130965471,310,
7,0,1.270643473,310,
8,0,1.338354588,310,
9,0,1.042680025,310,
10,0,1.396350145,310,
11,0,1.460144997,310,
12,0,1.086019993,310,
13,0,1.120495081,310,
14,0,1.175435543,310,
15,2.222968578,2.498045683,134,
16,0,1.249534845,310,
17,0,1.226894855,310,
18,0,1.19014287,310,
19,0,1.22085619,310,
property_id,abstract_time,total_time,size,1_7
0,0,1.567465782,175,
1,0,1.45802331,159,
2,0,1.593280315,185,
3,0,1.548620462,204,
4,0,1.429456711,168,
5,0,1.725735188,176,
6,0,1.483424187,163,
7,0,1.507523537,170,
8,0,1.530236244,152,
9,0,1.310815096,168,
10,0,1.517901421,188,
11,0,1.389591455,156,
12,0,1.456519842,159,
13,0,1.306889296,167,
14,0,1.488364458,171,
15,0,1.447535753,181,
16,0,1.519122839,148,
17,0,1.552045822,164,
18,0,1.930334091,173,
19,0,1.71175766,170,
property_id,abstract_time,total_time,size,1_8
0,2.034112692,2.112921715,113,
1,0,1.222453594,310,
2,0,1.24156332,310,
3,2.068566561,2.266017675,132,
4,0,1.153169394,310,
5,0,1.361962795,310,
6,0,1.343286276,310,
7,0,1.251622915,310,
8,0,1.230275154,310,
9,0,1.211241007,310,
10,0,1.20665884,310,
11,0,1.033061504,310,
12,0,1.116413832,310,
13,0,1.014418364,310,
14,0,1.100820541,310,
15,1.564440966,1.698144913,109,
16,0,1.126499414,310,
17,0,1.355760336,310,
18,0,1.513892174,310,
19,0,1.399534941,310,
property_id,abstract_time,total_time,size,1_9
0,0,1.203574896,310,
1,0,1.293170929,310,
2,2.26783967,2.564236879,133,
3,2.725852728,2.879664898,148,
4,0,1.204324484,310,
5,0,1.304632187,310,
6,0,1.305970192,310,
7,0,1.071315527,310,
8,0,1.212470531,310,
9,1.605229378,1.689627647,112,
10,0,1.407827377,310,
11,0,1.447837114,310,
12,0,1.492057323,310,
13,1.9423244,2.048057079,117,
14,0,1.099128485,310,
15,2.034240961,2.236111641,125,
16,0,1.259800196,310,
17,0,1.181782961,310,
18,0,1.254398584,310,
19,0,1.339022398,310,
property_id,abstract_time,total_time,size,2_1
0,0,0.939818859,310,
1,0,1.029004812,310,
2,0,0.955150366,310,
3,0,1.42711401,310,
4,0,0.863631725,310,
5,0,0.978918076,310,
6,0,1.006953239,310,
7,0,1.321358681,310,
8,0,0.878125906,310,
9,0,0.875639677,310,
10,0,1.326566458,310,
11,0,0.987165213,310,
12,0,0.921294212,310,
13,0,1.235130072,310,
14,0,1.03447032,310,
15,2.046860456,2.135539532,119,
16,0,0.962649107,310,
17,0,1.009403944,310,
18,0,1.252975941,310,
19,0,1.056146622,310,
property_id,abstract_time,total_time,size,2_2
0,1.908939362,2.047286034,119,
1,0,1.061792135,310,
2,1.684466362,1.723614216,81,
3,2.256309986,11.25135183,130,
4,0,1.125342131,310,
5,0,1.133132935,310,
6,0,1.018025875,310,
7,1.543268204,1.587517977,86,
8,1.475440741,1.539770842,103,
9,1.479415178,1.540039063,85,
10,0,1.208825827,310,
11,0,0.884917259,310,
12,0,0.896484852,310,
13,0,0.768360853,310,
14,1.582022667,1.628241062,81,
15,1.715413332,1.994519234,99,
16,0,0.971203089,310,
17,0,1.162096262,310,
18,0,1.232037544,310,
19,0,0.923598289,310,
property_id,abstract_time,total_time,size,2_3
0,,3600,,
1,0,1.172922373,310,
2,0,1.094883442,310,
3,2.082712889,11.84877348,161,
4,0,1.508675337,310,
5,0,1.274410725,310,
6,0,1.215224504,310,
7,0,0.987004519,310,
8,0,1.12907505,310,
9,2.020317554,2.076105833,95,
10,0,1.443521261,310,
11,0,1.072804451,310,
12,0,1.085600138,310,
13,0,1.008345604,310,
14,,3600,,
15,0,1.070159912,310,
16,0,1.519785166,310,
17,0,1.240570307,310,
18,0,1.205869913,310,
19,0,1.006921053,310,
property_id,abstract_time,total_time,size,2_4
0,0,1.485272408,310,
1,0,1.311347961,310,
2,1.52080965,1.632481575,103,
3,1.79585743,1.889770269,100,
4,0,1.121646643,310,
5,0,1.089686155,310,
6,0,1.442929983,310,
7,1.615088463,1.643460751,107,
8,0,1.25568676,310,
9,0,1.168891907,310,
10,0,1.176594496,310,
11,0,0.987370253,310,
12,0,1.076047897,310,
13,0,1.288960457,310,
14,0,0.977023602,310,
15,0,0.940781116,310,
16,0,1.014927626,310,
17,0,1.535089731,310,
18,0,1.115289927,310,
19,0,1.126972437,310,
property_id,abstract_time,total_time,size,2_5
0,1.67478466,7.208224535,157,
1,0,1.265120268,310,
2,1.794537544,1.859342337,102,
3,1.97777462,7.567893028,176,
4,0,1.248191357,310,
5,0,1.208507538,310,
6,0,1.161864281,310,
7,0,0.962125778,310,
8,0,0.999193668,310,
9,0,1.044832706,310,
10,0,1.638814449,310,
11,0,0.907619476,310,
12,0,0.883247614,310,
13,0,0.903413057,310,
14,1.573491335,1.698535681,132,
15,1.362584591,1.511061907,127,
16,0,0.980316401,310,
17,0,1.011730433,310,
18,0,1.071689844,310,
19,0,1.147832155,310,
property_id,abstract_time,total_time,size,2_6
0,1.988515615,2.76759696,119,
1,0,1.23656249,310,
2,0,1.347596884,310,
3,2.251762867,4.260380745,130,
4,0,1.26548171,310,
5,0,1.977390528,310,
6,0,1.401029348,310,
7,1.859588861,2.045149326,113,
8,0,1.240241766,310,
9,0,1.086861134,310,
10,0,1.327753067,310,
11,0,1.323182344,310,
12,0,1.194238186,310,
13,0,0.999710321,310,
14,1.770913839,4.449239969,138,
15,2.036297083,9.150968075,155,
16,0,1.20744133,310,
17,0,1.322584629,310,
18,0,1.266714811,310,
19,0,1.500209808,310,
property_id,abstract_time,total_time,size,2_7
0,2.478144884,8.011338711,177,
1,0,1.370962858,310,
2,0,1.206673145,310,
3,1.942788363,2.178188801,107,
4,0,1.416116476,310,
5,0,1.344189167,310,
6,0,1.495423317,310,
7,0,1.250191927,310,
8,0,1.385886908,310,
9,,3600,,
10,0,1.358361721,310,
11,0,1.400331497,310,
12,0,1.373095512,310,
13,0,1.303206682,310,
14,2.245492935,2.313769341,108,
15,2.44920826,3.33959341,160,
16,0,1.446620941,310,
17,0,1.514241934,310,
18,0,1.31657815,310,
19,0,1.401380062,310,
property_id,abstract_time,total_time,size,2_8
0,0,1.158192396,310,
1,0,1.322194815,310,
2,0,1.132641554,310,
3,2.673396587,37.15667295,183,
4,0,1.166806698,310,
5,2.445037603,2.790847778,145,
6,0,1.370277643,310,
