property_id,abstract_time,total_time,size,1_1
0,16.60259059,1820.201676,910,
1,17.66261907,1853.80549,910,
2,12.73033539,909.5868648,873,
3,13.43857058,1875.541652,897,
4,11.89754857,1408.333131,808,
5,14.78892447,1542.18488,910,
6,17.20538722,1546.17341,910,
7,11.85023895,46.70873813,745,
8,11.25613366,676.4045321,903,
9,20.05684613,1377.091873,901,
10,16.69432491,603.8254121,910,
11,17.66696921,1588.671865,910,
12,11.13461126,1556.355903,892,
13,15.48692461,1903.146859,910,
14,20.1190105,1728.44237,910,
15,9.9419304,984.1357655,910,
16,17.25316803,1698.761986,870,
17,20.28763194,1006.221041,888,
18,18.02901818,1295.609102,910,
19,19.6016011,1296.658969,910,
property_id,abstract_time,total_time,size,1_2
0,14.6223837,1812.526928,910,
1,14.68230638,840.3989387,910,
2,14.58969574,1855.118975,910,
3,13.5162076,1290.944169,832,
4,16.28775476,1168.330654,910,
5,14.42042304,720.0855963,801,
6,16.65147535,542.7796255,885,
7,,3600,,
8,17.07651413,1598.102743,910,
9,17.47792288,1214.79468,841,
10,,3600,,
11,18.54168866,1556.619362,707,
12,15.58434817,1662.698483,910,
13,17.50955491,1360.54391,910,
14,12.94946772,1667.123667,890,
15,12.01770945,30.89084868,798,
16,15.84563635,23.763899,770,
17,9.133693787,1878.472182,770,
18,14.47629264,28.764594,779,
19,15.30983779,1391.588219,844,
property_id,abstract_time,total_time,size,1_3
0,16.39947073,1839.086365,910,
1,16.43588944,1713.683032,910,
2,19.34033044,1519.21835,910,
3,,3600,,
4,17.60595518,1994.310901,764,
5,15.03666845,1538.905927,906,
6,17.86901902,1675.533532,883,
7,,3600,,
8,16.29769374,1526.284694,910,
9,13.74044814,2079.359795,860,
10,,3600,,
11,19.8970084,2054.369961,906,
12,12.6785719,2376.003643,854,
13,21.19202856,2576.904815,910,
14,16.88324287,1699.986732,910,
15,14.22404101,1310.695325,839,
16,17.40627949,1780.404628,910,
17,19.0565631,1797.645784,910,
18,14.63313607,3185.956665,910,
19,14.82897992,2807.053283,875,
property_id,abstract_time,total_time,size,1_4
0,19.14664432,1386.264554,910,
1,18.53969085,2539.130497,910,
2,14.80658717,1856.003269,910,
3,14.97263804,1846.034639,910,
4,17.08159594,1189.82662,906,
5,15.80167758,1165.76688,910,
6,13.20133742,1717.609499,771,
7,15.19296736,1293.112364,910,
8,19.05788746,641.8844957,867,
9,18.409221,2101.716258,905,
10,,3600,,
11,15.53087783,1164.490672,910,
12,19.82575019,691.3100606,867,
13,15.70276262,20.51378102,736,
14,16.2544054,837.6387493,884,
15,18.54300034,1019.633378,910,
16,14.4275474,964.1006686,855,
17,,3600,,
18,11.27679436,829.0030234,910,
19,16.46695596,695.2578484,910,
property_id,abstract_time,total_time,size,1_5
0,16.40291712,553.6681431,910,
1,10.44224888,1284.199039,910,
2,16.2062162,1739.610536,822,
3,,3600,,
4,18.03285963,1379.054854,910,
5,17.62510003,576.3808478,908,
6,15.83492089,739.0461975,885,
7,13.99867314,1637.84267,910,
8,15.71794353,1766.864064,908,
9,11.98772135,1724.431541,910,
10,,3600,,
11,18.36676362,1836.468152,910,
12,13.68121319,1373.030128,910,
13,15.34618137,1725.740329,910,
14,18.49653693,1504.412561,910,
15,15.14406176,1804.255878,820,
16,19.20020584,1834.745377,910,
17,15.22708566,15.58054714,800,
18,15.7756252,1806.014797,910,
19,10.34395398,701.3116751,910,
property_id,abstract_time,total_time,size,1_6
0,15.53310088,70.78358168,728,
1,13.61920217,21.06978854,758,
2,11.02086128,1471.339836,910,
3,14.30358497,1165.574539,910,
4,12.12132962,1729.017669,815,
5,9.287236376,1246.321048,910,
6,13.38012316,1631.039126,853,
7,13.57543785,49.62118744,723,
8,14.54869625,31.23217505,724,
9,16.33986117,1724.534995,891,
10,15.24409584,3052.907557,853,
11,,3600,,
12,20.57207776,1994.551657,910,
13,19.45352307,2397.194995,910,
14,15.02436244,1353.655909,884,
15,13.24423177,1099.728735,841,
16,19.62517113,1584.771236,910,
17,20.72990288,647.8720554,847,
18,19.2827001,28.75018703,730,
19,17.88207511,35.73286993,726,
property_id,abstract_time,total_time,size,1_7
0,17.31341226,19.73475621,72,
1,16.65371393,19.15899627,72,
2,18.15253137,21.0505883,72,
3,11.42170949,13.92510201,72,
4,16.09881222,19.22226596,72,
5,15.86997589,17.63957187,72,
6,18.09188531,20.77287836,72,
7,12.7680944,15.267836,72,
8,16.7092197,18.55475119,72,
9,18.4176617,21.21001564,72,
10,14.21043147,16.25052143,72,
11,19.98357994,23.06592921,72,
12,13.98433026,16.75378922,72,
13,17.33490954,20.31074033,72,
14,22.00749112,24.07454551,72,
15,15.71290733,17.62175528,72,
16,16.38636086,19.93281161,72,
17,11.04612107,12.76284412,72,
18,14.61891107,16.44537335,72,
19,18.86100551,20.84823377,72,
property_id,abstract_time,total_time,size,1_8
0,12.70817043,808.7765677,815,
1,15.81373596,1044.758527,802,
2,19.60775004,1161.930223,910,
3,18.04593125,860.4953195,910,
4,12.99063775,1533.52153,890,
5,17.68092107,25.16019782,757,
6,14.99592802,1292.221399,896,
7,16.70491816,842.7482486,910,
8,19.08922787,1405.891402,892,
9,14.46645429,1536.499996,910,
10,18.4504534,1742.827062,653,
11,10.62963349,22.93082508,729,
12,13.67605708,602.0824492,854,
13,19.41772459,866.6612993,910,
14,23.04570023,1491.211297,910,
15,19.57593187,1153.855222,910,
16,22.8740292,506.0060101,910,
17,10.88381647,1541.25896,741,
18,14.34421065,1209.18328,857,
19,15.37366787,1765.060832,910,
property_id,abstract_time,total_time,size,1_9
0,13.65525946,1785.939349,901,
1,17.17005362,1684.798728,872,
2,15.57925993,1797.725625,910,
3,,3600,,
4,15.52477889,1964.490002,856,
5,22.45421402,1585.948855,882,
6,18.49345212,1696.948871,910,
7,,3600,,
8,10.13948069,2326.2178,880,
