property_id,abstract_time,total_time,size,1_1
0,52.27334738,1902.524875,910,
1,49.73889971,995.9900398,910,
2,48.09376764,64.97451639,710,
3,48.31264615,850.905292,910,
4,48.22095156,3357.916686,910,
5,,3600,,
6,0,2.713027954,910,
7,48.81716228,1107.572762,910,
8,48.34983587,951.2098818,910,
9,49.24885559,1127.254163,910,
10,51.42529416,875.1746142,910,
11,48.15487266,65.00390458,710,
12,47.17815304,1634.208066,910,
13,48.0896132,1013.207758,910,
14,48.67729187,2335.447679,910,
15,52.46301436,2927.750506,910,
16,,3600,,
17,49.29745126,911.6326799,910,
18,49.33425546,66.18823934,710,
19,47.39132476,1051.990489,910,
property_id,abstract_time,total_time,size,1_2
0,51.77439785,69.22998405,710,
1,48.1944294,49.27280283,710,
2,,3600,,
3,48.66433358,2721.67243,910,
4,,3600,,
5,,3600,,
6,0,2.85513258,910,
7,48.8326869,65.61164308,710,
8,49.52202916,66.24086976,710,
9,47.46753359,64.95856762,710,
10,48.74395037,1799.864423,909,
11,,3600,,
12,,3600,,
13,50.08284998,954.6503947,909,
14,49.73902988,67.67317891,710,
15,49.64308596,2831.221655,909,
16,,3600,,
17,48.29919648,1289.047518,910,
18,51.71460795,2391.534488,910,
19,48.40835929,1389.815968,910,
property_id,abstract_time,total_time,size,1_3
0,,3600,,
1,,3600,,
2,,3600,,
3,47.52511406,1251.738478,907,
4,48.11827445,1082.975322,910,
5,,3600,,
6,,3600,,
7,,3600,,
8,47.59428906,2180.911379,910,
9,48.13456082,2661.552743,909,
10,49.78070569,872.3691764,910,
11,,3600,,
12,,3600,,
13,45.90029931,1840.10467,908,
14,,3600,,
15,,3600,,
16,,3600,,
17,47.58188915,824.1475096,906,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,1_4
0,,3600,,
1,,3600,,
2,,3600,,
3,46.89426732,63.49992037,710,
4,45.81352711,62.17386866,710,
5,,3600,,
6,0,2.423267841,910,
7,45.5314393,62.10602236,710,
8,46.02308631,62.84389687,710,
9,45.0315764,61.52804923,710,
10,48.86932683,3318.241677,909,
11,48.01827621,65.1460371,710,
12,,3600,,
13,46.58028984,63.63122702,710,
14,,3600,,
15,,3600,,
16,,3600,,
17,44.44891095,60.63387871,710,
18,,3600,,
19,43.91492295,59.85966659,710,
property_id,abstract_time,total_time,size,1_5
0,,3600,,
1,45.78784943,61.97477341,710,
2,,3600,,
3,46.20520782,47.2680397,710,
4,45.74104118,46.83222604,710,
5,,3600,,
6,,3600,,
7,46.81191039,63.861691,710,
8,48.07519007,49.15330672,710,
9,46.91170573,48.00982833,710,
10,,3600,,
11,46.49082184,64.37703514,710,
12,,3600,,
13,46.9191432,63.42084169,710,
14,,3600,,
15,43.9820962,60.08410692,710,
16,,3600,,
17,44.04423022,60.32272983,710,
18,,3600,,
19,45.34302258,46.38165021,710,
property_id,abstract_time,total_time,size,1_6
0,,3600,,
1,,3600,,
2,,3600,,
3,46.93899536,48.01456022,710,
4,45.77870846,46.83666015,710,
5,46.60488749,2761.307027,910,
6,0,2.577897072,910,
7,48.18840456,65.03760958,710,
8,48.53010154,65.76947379,710,
9,47.25167871,1634.431754,910,
10,46.47729254,1637.228406,910,
11,45.0639205,61.31891179,710,
12,44.43110752,2377.166113,909,
13,46.24512172,2088.483711,910,
14,,3600,,
15,45.69396448,62.0848856,710,
16,,3600,,
17,46.33747554,893.1785307,910,
18,,3600,,
19,,3600,,
property_id,abstract_time,total_time,size,1_7
0,0,2.404768229,910,
1,0,2.449831486,910,
2,0,2.45861125,910,
3,0,2.42454195,910,
4,0,2.484547138,910,
5,0,2.353178024,910,
6,0,2.378947496,910,
7,0,2.373944521,910,
8,0,2.392564535,910,
9,0,2.342575788,910,
10,0,2.467772961,910,
11,0,2.39226675,910,
12,0,2.399957895,910,
13,0,2.430682659,910,
14,0,2.435815811,910,
15,0,2.389599085,910,
16,0,2.370029688,910,
17,0,2.352283239,910,
