property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,17.70751943,2159.783312,889
2,2,13.81545874,55.17743221,718
3,3,17.79161064,1328.427734,910
4,4,,3600,
5,5,,3600,
6,6,12.63920773,14.94344949,694
7,7,15.98590143,2150.212725,780
8,8,14.48311828,1822.190533,862
9,9,12.00587071,2098.742152,910
10,10,18.32469692,1156.79761,759
11,11,18.10348151,1042.458458,804
12,12,12.81826475,2943.153786,910
13,13,15.26373818,1866.017899,877
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,16.26061916,1709.010539,910
18,18,14.16675654,556.6838524,893
19,19,14.51604587,2012.503761,910
property_id,property_id,abstract_time,total_time,size
0,0,19.4661403,974.1832068,837
1,1,15.15485496,1539.349057,910
2,2,,3600,
3,3,,3600,
4,4,,3600,
5,5,,3600,
6,6,19.76006534,22.93129286,910
7,7,14.10351812,697.5946345,910
8,8,14.98028812,792.4445798,910
9,9,17.29187997,45.05584882,799
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,21.92710899,1663.516354,843
14,14,16.07901231,850.272784,893
15,15,,3600,
16,16,,3600,
17,17,8.938406698,2298.68977,910
18,18,,3600,
19,19,15.20734664,2758.793602,910
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,16.57593257,2249.745732,805
4,4,18.98304588,2496.591352,881
5,5,,3600,
6,6,,3600,
7,7,,3600,
8,8,,3600,
9,9,,3600,
10,10,11.23128509,1782.762376,910
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,12.71224072,1617.601374,795
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,15.77478583,53.31068185,771
4,4,12.91715609,973.7744639,885
5,5,,3600,
6,6,13.47330365,16.48709018,910
7,7,17.56029453,647.6500911,838
8,8,15.02785116,599.768482,862
9,9,17.03526164,1038.635341,806
10,10,,3600,
11,11,13.61186368,41.51752886,647
12,12,,3600,
13,13,14.5556884,50.1683727,767
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,15.07278375,54.8926617,785
18,18,,3600,
19,19,15.77247609,34.07967386,784
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,12.60717253,800.8153491,865
2,2,,3600,
3,3,13.06982973,1388.001857,910
4,4,16.53955819,25.67552458,774
5,5,,3600,
6,6,,3600,
7,7,16.58747098,906.4171052,847
8,8,21.34435336,22.92553369,635
9,9,13.05750118,24.63388689,759
10,10,,3600,
11,11,12.55433258,620.6918316,910
12,12,,3600,
13,13,12.84799692,1542.156573,882
14,14,,3600,
15,15,18.62564643,935.0616882,910
16,16,,3600,
17,17,22.61611038,1113.626015,910
18,18,,3600,
19,19,12.1335238,992.6713375,910
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,18.08983969,28.337655,797
4,4,22.30090133,569.4760978,899
5,5,,3600,
6,6,24.18409036,26.37980137,830
7,7,18.14996489,547.519163,864
8,8,14.41882348,846.4161707,910
9,9,17.50885468,2850.208816,813
10,10,,3600,
11,11,20.97949463,752.6816249,895
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,17.19675506,822.1299902,910
16,16,,3600,
17,17,17.07094545,1702.644293,765
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,19.47722413,21.78766617,72
1,1,17.23951477,20.38111248,72
2,2,14.70595482,17.28210808,72
3,3,17.2786836,19.10275372,72
4,4,11.76411961,13.61042403,72
5,5,11.68567178,13.69176127,72
6,6,19.26968781,21.39482614,72
7,7,18.84258863,21.11243616,72
8,8,13.86861735,15.10131517,72
9,9,13.8267095,15.86884778,72
10,10,19.25111001,21.90050428,72
11,11,14.0150648,16.59199102,72
12,12,19.9342247,22.20838148,72
13,13,11.16620018,12.27063224,72
14,14,16.9714548,20.13003128,72
15,15,17.91816621,20.2805129,72
16,16,18.73154943,21.02084374,72
17,17,12.58628367,14.64047405,72
18,18,13.65278827,16.4475519,72
19,19,15.33832629,17.40078794,72
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,,3600,
4,4,,3600,
5,5,,3600,
6,6,,3600,
7,7,,3600,
8,8,15.56216469,686.2461914,910
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,13.5393256,1759.3164,910
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,13.35907138,741.8264666,910
18,18,18.25633604,52.77676531,743
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,,3600,
4,4,,3600,
5,5,,3600,
6,6,,3600,
7,7,,3600,
8,8,,3600,
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,15.96219009,1733.958076,813
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,17.46101734,1492.98253,910
2,2,,3600,
3,3,16.79088044,1865.123665,778
4,4,,3600,
5,5,,3600,
6,6,14.40867379,46.3712826,890
7,7,,3600,
8,8,,3600,
9,9,,3600,
10,10,12.20876782,1640.566491,907
11,11,,3600,
12,12,12.05875514,3374.21041,899
13,13,13.58718567,2961.357195,910
14,14,10.93642743,1127.082617,910
15,15,,3600,
16,16,,3600,
17,17,19.09636087,2139.548402,910
18,18,,3600,
19,19,12.7789722,1409.402629,871
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,,3600,
4,4,,3600,
5,5,,3600,
6,6,10.7983305,13.29065497,72
7,7,,3600,
8,8,21.31823345,1816.418444,749
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,17.66084268,1584.658089,891
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,,3600,
4,4,,3600,
5,5,,3600,
6,6,18.52237074,60.45356363,807
7,7,,3600,
8,8,15.05282593,3060.317599,851
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,18.12250786,2694.910487,752
15,15,,3600,
16,16,,3600,
17,17,17.55399707,1727.353322,892
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,16.00242792,1847.739212,910
2,2,,3600,
3,3,,3600,
4,4,,3600,
5,5,,3600,
6,6,18.16188432,2309.342535,902
7,7,,3600,
8,8,,3600,
9,9,,3600,
10,10,13.54321098,2335.496275,862
11,11,,3600,
12,12,10.83631357,1752.805331,818
13,13,,3600,
14,14,17.24788995,2808.852469,900
15,15,,3600,
16,16,,3600,
17,17,11.38052189,2095.106655,842
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,15.52445339,1490.959171,910
4,4,,3600,
5,5,20.5374734,2891.407295,910
6,6,10.74491095,12.10997082,72
7,7,,3600,
8,8,,3600,
9,9,,3600,
10,10,13.76414552,3444.756152,910
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,,3600,
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,13.87866862,3542.226316,816
4,4,,3600,
5,5,,3600,
6,6,14.84331185,17.05805208,650
7,7,,3600,
8,8,,3600,
9,9,,3600,
10,10,13.61725262,3099.915898,827
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,12.59123678,2229.907025,910
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,15.80882567,2014.959078,859
4,4,,3600,
5,5,,3600,
6,6,,3600,
7,7,,3600,
8,8,,3600,
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,,3600,
18,18,,3600,
19,19,19.4895499,2399.081031,886
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,15.19192456,1753.499547,910
4,4,,3600,
5,5,,3600,
6,6,19.27298803,21.07840745,72
7,7,,3600,
8,8,15.91027864,2185.696916,898
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,14.2189411,2053.001714,910
18,18,,3600,
19,19,15.34603718,2265.87159,861
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,,3600,
4,4,,3600,
5,5,,3600,
6,6,,3600,
7,7,,3600,
8,8,14.43407533,1993.923725,910
9,9,,3600,
10,10,15.4955629,2457.274637,753
11,11,,3600,
12,12,,3600,
13,13,12.77750371,1892.357232,845
14,14,20.52187437,2628.484949,910
15,15,,3600,
16,16,,3600,
17,17,22.47393459,2924.960758,903
18,18,,3600,
19,19,16.69585939,2295.482969,866
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,11.83283503,1696.812472,868
2,2,,3600,
3,3,22.10927136,1909.296961,910
4,4,,3600,
5,5,13.71363573,1997.214755,910
6,6,,3600,
7,7,,3600,
8,8,,3600,
9,9,13.63888728,1595.715787,835
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,14.84090439,2232.901086,910
15,15,,3600,
16,16,,3600,
17,17,18.95740652,1586.841015,910
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,14.34534407,2336.557092,786
2,2,,3600,
3,3,10.27390565,2547.188264,910
4,4,,3600,
5,5,,3600,
6,6,,3600,
7,7,,3600,
8,8,20.11513681,1829.631608,779
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,9.483840128,1495.581878,791
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,12.04226506,2067.325458,774
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,17.13221247,1327.904548,707
4,4,,3600,
5,5,18.29585988,3034.353848,910
6,6,,3600,
7,7,,3600,
8,8,13.88031045,1811.265367,727
9,9,14.50096312,2994.696393,872
10,10,,3600,
11,11,,3600,
12,12,18.19035037,2887.364834,891
13,13,15.77804382,2067.169313,910
14,14,17.80946786,2363.886772,727
15,15,,3600,
16,16,,3600,
17,17,13.43550689,1310.865941,909
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,12.81666731,1896.130375,750
1,1,,3600,
2,2,,3600,
3,3,,3600,
4,4,,3600,
5,5,,3600,
6,6,15.98904738,18.22820001,72
7,7,,3600,
8,8,,3600,
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,,3600,
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,15.38793079,2913.934167,813
4,4,15.69058545,3265.112204,880
5,5,,3600,
6,6,10.46989681,47.4181077,882
7,7,,3600,
8,8,,3600,
9,9,19.51165659,1624.742802,910
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,12.98506239,3222.579652,910
14,14,,3600,
15,15,,3600,
16,16,,3600,
17,17,,3600,
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,,3600,
4,4,15.06671534,1943.16874,735
5,5,,3600,
6,6,9.278441994,2231.964919,895
7,7,,3600,
8,8,16.45030452,2140.975401,905
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,18.63851767,3093.606711,910
15,15,16.74800202,1584.806908,910
16,16,,3600,
17,17,,3600,
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,16.65355595,1602.564167,828
4,4,,3600,
5,5,,3600,
6,6,16.85961267,19.62229008,72
7,7,,3600,
8,8,17.66636313,2663.475353,851
9,9,,3600,
10,10,,3600,
11,11,,3600,
12,12,,3600,
13,13,,3600,
14,14,,3600,
15,15,14.56911179,2334.839566,745
16,16,,3600,
17,17,16.4224649,1959.53583,910
18,18,,3600,
19,19,,3600,
property_id,property_id,abstract_time,total_time,size
0,0,,3600,
1,1,,3600,
2,2,,3600,
3,3,,3600,
4,4,,3600,
5,5,,3600,
6,6,,3600,
