property_id,property_id,abstract_time,total_time,size
0,0,2.450770378,18.40777326,210
1,1,2.0293293,2.877039433,183
2,2,2.29625845,88.58159399,207
3,3,1.48927784,1.601902485,92
4,4,3.849432707,33.16529346,211
5,5,3.226908207,31.05737185,208
6,6,0,1.969288111,436
7,7,2.573115826,6.429545879,182
8,8,0,0.843765259,310
9,9,2.377095938,2.806359529,156
10,10,1.401489019,1.502598524,96
11,11,3.002783775,50.43639326,211
12,12,5.580705166,14.9349618,195
13,13,1.763210773,1.920984745,131
14,14,1.899209499,20.89960551,188
15,15,3.093014956,36.36213875,209
16,16,2.873283148,81.52745152,205
17,17,1.255839825,1.318734646,85
18,18,3.876231909,130.4884741,227
19,19,1.625727654,2.0814991,119
property_id,property_id,abstract_time,total_time,size
0,0,3.002313137,27.23069167,221
1,1,2.662784815,13.38107228,199
2,2,2.678383112,137.7867427,206
3,3,1.71491766,2.255222082,159
4,4,2.773918867,111.7566597,226
5,5,3.950579882,108.3152878,222
6,6,2.286924124,166.4346464,233
7,7,2.1902318,37.54445338,216
8,8,,3600,
9,9,1.626542807,1.935139894,151
10,10,2.316779852,4.293365955,178
11,11,3.946594954,355.2474051,219
12,12,2.584447145,52.16543722,216
13,13,1.703211069,2.093547106,125
14,14,1.74501133,3.93012166,131
15,15,2.161910772,9.508350134,191
16,16,2.590957165,77.70460153,223
17,17,1.635746956,1.67162323,112
18,18,4.246097565,11.0297873,215
19,19,2.043874025,2.338076591,121
property_id,property_id,abstract_time,total_time,size
0,0,3.253070593,161.8795092,241
1,1,2.694259882,39.63832784,239
2,2,3.194689512,267.9453962,239
3,3,1.882819176,3.295287132,131
4,4,2.396074533,5.378025293,197
5,5,2.472950459,155.3215637,227
6,6,4.514637947,399.120549,220
7,7,2.799271584,86.69965863,225
8,8,2.047971487,6.151071787,156
9,9,2.00815773,3.563390255,174
10,10,2.044201374,2.223481894,135
11,11,2.86873436,150.3787057,240
12,12,2.389843702,18.24378824,214
13,13,2.10836339,8.081690311,196
14,14,2.145701647,21.08601761,212
15,15,2.847124577,27.63348508,251
16,16,3.719261646,3243.220229,257
17,17,1.90544486,2.382346153,184
18,18,2.943666935,20.28957796,254
19,19,3.184660196,40.62561154,220
property_id,property_id,abstract_time,total_time,size
0,0,3.979772806,256.6221623,229
1,1,2.478233814,11.25746298,189
2,2,2.915091753,85.86103725,230
3,3,2.006039143,2.288856745,127
4,4,1.909036636,9.078644514,191
5,5,3.053029537,78.26202989,214
6,6,0,1.979361057,432
7,7,2.736745596,57.16940594,230
8,8,2.141709328,6.375533819,193
9,9,2.230869293,7.154034615,193
10,10,2.612202406,14.31527305,210
11,11,2.706259966,52.89116454,221
12,12,3.903431416,32.63491559,224
13,13,2.124956846,2.272454739,120
14,14,3.437659264,108.3622777,225
15,15,4.211940289,77.32600045,237
16,16,3.94010973,241.7517369,246
17,17,0,1.190717697,310
18,18,2.069861889,77.85474348,201
19,19,2.427284956,4.758372545,194
property_id,property_id,abstract_time,total_time,size
0,0,3.391628027,662.4012203,248
1,1,2.251480579,6.355913401,177
2,2,3.543548584,190.3298912,218
3,3,2.468160391,20.30987048,215
4,4,2.761235952,11.35582256,207
5,5,2.783268452,49.26770687,241
6,6,0,2.047310829,433
7,7,2.407160044,22.8359251,219
8,8,1.540428638,1.628576517,106
9,9,2.023858309,9.212732553,188
10,10,3.478523493,195.1000674,227
11,11,2.486780882,619.7827184,225
12,12,2.867476225,117.3043954,222
13,13,2.204905272,5.023864985,210
14,14,2.657528639,16.47401071,223
15,15,2.958459854,27.80849409,238
16,16,3.047788858,1004.14239,250
17,17,2.132301569,22.92916369,188
18,18,3.333578825,169.8203866,228
19,19,2.012846708,2.545421839,134
property_id,property_id,abstract_time,total_time,size
0,0,2.369249821,54.39773679,226
1,1,2.554485083,17.91617227,204
2,2,2.427765131,51.21015072,225
3,3,2.143944979,2.185014486,115
4,4,3.200823069,12.35390687,212
5,5,2.266026258,7.288019419,216
6,6,2.998036146,18.86297679,239
7,7,2.970095396,41.82446694,226
8,8,1.855055571,6.764837027,180
9,9,2.31657052,5.375951529,206
10,10,2.434923649,8.245525837,189
11,11,2.980047941,516.0860271,243
12,12,3.05773139,12.46902442,222
13,13,2.374241829,3.46025753,187
14,14,2.41053319,8.211381912,196
15,15,2.321832657,213.302218,236
16,16,2.697062969,544.5698457,252
17,17,2.658731699,2.818045855,138
18,18,3.922275782,137.3181982,231
19,19,2.174893856,5.307016134,137
property_id,property_id,abstract_time,total_time,size
0,0,0,2.296444178,465
1,1,0,1.979181051,383
2,2,0,2.223409891,448
3,3,0,1.615293264,295
4,4,0,1.81362915,376
5,5,0,2.070640326,430
6,6,0,2.080676079,441
7,7,0,2.056923389,451
8,8,0,1.722002268,365
9,9,0,2.077669859,402
10,10,0,2.055564165,428
11,11,0,1.967743397,421
12,12,0,2.119406462,402
13,13,0,1.628083944,314
